
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
The National Trade Show Services (NTSS) is a service provider.|The|DT|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|National|NNP|ORGANIZATION|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|Trade|NNP|ORGANIZATION|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|Show|NNP|ORGANIZATION|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|Services|NNP|ORGANIZATION|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|-LRB-|-LRB-|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|NTSS|NNS|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|-RRB-|-RRB-|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|is|VBZ|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|a|DT|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|service|NN|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|provider|NN|O|National Trade Show Services|is|service provider
The National Trade Show Services (NTSS) is a service provider.|.|.|O|National Trade Show Services|is|service provider

 ----------

SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Business customers create, promote, organize, and run national and international trade shows.|Business|NN|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|customers|NNS|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|create|VBP|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|,|,|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|promote|VBP|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|,|,|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|organize|VBP|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|,|,|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|and|CC|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|run|VB|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|national|JJ|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|and|CC|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|international|JJ|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|trade|NN|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|shows|NNS|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|.|.|O|Business customers|run|trade shows

 ----------
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Business customers create, promote, organize, and run national and international trade shows.|Business|NN|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|customers|NNS|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|create|VBP|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|,|,|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|promote|VBP|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|,|,|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|organize|VBP|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|,|,|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|and|CC|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|run|VB|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|national|JJ|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|and|CC|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|international|JJ|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|trade|NN|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|shows|NNS|O|Business customers|run|trade shows
Business customers create, promote, organize, and run national and international trade shows.|.|.|O|Business customers|run|trade shows

 ----------

SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Business customers contact NTSS for the services they need.|Business|NNP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|customers|NNS|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|contact|VB|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|NTSS|NNS|ORGANIZATION|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|for|IN|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|the|DT|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|services|NNS|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|they|PRP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|need|VBP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|.|.|O|Business customers|contact|NTSS

 ----------
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Business customers contact NTSS for the services they need.|Business|NNP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|customers|NNS|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|contact|VB|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|NTSS|NNS|ORGANIZATION|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|for|IN|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|the|DT|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|services|NNS|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|they|PRP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|need|VBP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|.|.|O|Business customers|contact|NTSS

 ----------
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Business customers contact NTSS for the services they need.|Business|NNP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|customers|NNS|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|contact|VB|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|NTSS|NNS|ORGANIZATION|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|for|IN|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|the|DT|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|services|NNS|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|they|PRP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|need|VBP|O|Business customers|contact|NTSS
Business customers contact NTSS for the services they need.|.|.|O|Business customers|contact|NTSS

 ----------

SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|Creating|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|trade|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|show|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|involves|VBZ|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|the|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|design|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|for|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|the|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|trade|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|show|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|,|,|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|including|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|professional|JJ|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|services|NNS|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|ranging|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|from|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|selection|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|of|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|theme|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|and|CC|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|slogan|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|to|TO|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|location|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|and|CC|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|duration|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|.|.|O|design|Creating|trade show

 ----------
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|Creating|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|trade|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|show|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|involves|VBZ|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|the|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|design|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|for|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|the|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|trade|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|show|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|,|,|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|including|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|professional|JJ|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|services|NNS|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|ranging|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|from|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|selection|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|of|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|theme|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|and|CC|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|slogan|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|to|TO|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|location|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|and|CC|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|duration|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|.|.|O|design|Creating|trade show

 ----------
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|Creating|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|trade|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|show|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|involves|VBZ|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|the|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|design|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|for|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|the|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|trade|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|show|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|,|,|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|including|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|professional|JJ|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|services|NNS|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|ranging|VBG|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|from|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|selection|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|of|IN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|theme|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|and|CC|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|a|DT|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|slogan|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|to|TO|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|location|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|and|CC|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|duration|NN|O|design|Creating|trade show
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|.|.|O|design|Creating|trade show

 ----------
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
Creating a trade show involves the design for the trade show, including professional services ranging from selection of a theme and a slogan to location and duration.|Creating|VBG|O|design|Creating|trade show
