
SENTENCE|WORD|POS|NER|SUBJECT|PREDICATE|OBJECT 
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|A|DT|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|A|DT|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|A|DT|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|computer|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|computer|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|computer|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|reservation|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|reservation|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|reservation|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|or|CC|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|or|CC|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|or|CC|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|central|JJ|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|central|JJ|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|central|JJ|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|reservation|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|reservation|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|reservation|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|-LRB-|-LRB-|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|-LRB-|-LRB-|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|-LRB-|-LRB-|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|CRS|NNP|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|CRS|NNP|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|CRS|NNP|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|-RRB-|-RRB-|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|-RRB-|-RRB-|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|-RRB-|-RRB-|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|is|VBZ|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|is|VBZ|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|is|VBZ|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|a|DT|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|a|DT|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|a|DT|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|computerized|JJ|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|computerized|JJ|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|computerized|JJ|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|computer reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|information|conduct|transactions
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|system|NN|O|reservation system|is|system
A computer reservation system or central reservation system -LRB- CRS -RRB- is a computerized system used to store and retrieve information and conduct transactions related to air travel , hotels , car rental , or other activities.|used|VBN|O|computer reservation system|is|system
